name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
Limbus Company,"As the Executive Manager of Limbus Company, lead your group of twelve Sinners, venture into the buried facilities of Lobotomy Corporation, and lay claim on the Golden Boughs.","Lore-Rich, Story Rich, Turn-Based Tactics, RPG, Turn-Based Combat, Visual Novel, Strategy RPG, Singleplayer, Strategy, Free to Play, Anime, PvE, Turn-Based Strategy, Action, 2D, Dark Fantasy, Sci-fi, Roguelite, Great Soundtrack, Colorful",2023-02-26,ProjectMoon,ProjectMoon,Very Positive,"(37,527)",13860,https://store.steampowered.com/app/1973530/Limbus_Company?snr=1_category_4_rpg_100726
Divinity: Original Sin 2 - Definitive Edition,"The critically acclaimed RPG that raised the bar, from the creators of Baldurs Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.","Tactical RPG, RPG, Turn-Based Strategy, Story Rich, Fantasy, Character Customization, CRPG, Exploration, Party-Based RPG, Strategy RPG, PvP, Female Protagonist, Co-op Campaign, Local Co-Op, Choices Matter, Isometric, Romance, Strategy, Moddable, Funny",2017-09-14,Larian Studios,Larian Studios,Overwhelmingly Positive,"(159,505)",86852,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition?snr=1_category_4_rpg_100727
Fallout: New Vegas,Welcome to Vegas. New Vegas. Enjoy your stay!,"Open World, RPG, Post-apocalyptic, Singleplayer, Moddable, Story Rich, Exploration, First-Person, Action, Adventure, Sci-fi, FPS, Western, Atmospheric, Action RPG, Character Customization, Survival, Sandbox, Shooter, Third Person",2010-10-22,Obsidian Entertainment,Bethesda Softworks,Overwhelmingly Positive,"(173,792)",172530,https://store.steampowered.com/app/22380/Fallout_New_Vegas?snr=1_category_4_rpg_100727
Undertale,UNDERTALE! The RPG game where you dont have to destroy anyone.,"Great Soundtrack, Story Rich, Choices Matter, Multiple Endings, Pixel Graphics, Funny, RPG, Singleplayer, Indie, Comedy, 2D, Replay Value, Bullet Hell, Cute, Memes, Retro, Dark, Psychological Horror, Dating Sim, Horror",2015-09-15,tobyfox,tobyfox,Overwhelmingly Positive,"(212,580)",140016,https://store.steampowered.com/app/391540/Undertale?snr=1_category_4_rpg_100727
Persona 4 Golden,A coming of age story that sets the protagonist and his friends on a journey kickstarted by a chain of serial murders.,"JRPG, Great Soundtrack, Story Rich, Anime, Turn-Based Combat, RPG, Singleplayer, Party-Based RPG, Mystery, Multiple Endings, Emotional, Turn-Based Strategy, Detective, Dating Sim, Colorful, Adventure, Strategy, Visual Novel, Violent, Turn-Based",2020-06-13,ATLUS,SEGA,Overwhelmingly Positive,"(61,644)",47338,https://store.steampowered.com/app/1113000/Persona_4_Golden?snr=1_category_4_rpg_100727
DARK SOULS™ III,"Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. Prepare yourself and Embrace The Darkness!","Souls-like, Dark Fantasy, Difficult, RPG, Atmospheric, Lore-Rich, Third Person, Exploration, Story Rich, Action RPG, Co-op, Great Soundtrack, Adventure, Action, Multiplayer, PvP, Open World, Singleplayer, Character Customization, Replay Value",2016-04-11,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",Very Positive,"(249,163)",149687,https://store.steampowered.com/app/374320/DARK_SOULS_III?snr=1_category_4_rpg_100727
Hogwarts Legacy,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.","Magic, Fantasy, Open World, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action-Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly",2023-02-10,Avalanche Software,Warner Bros. Games,Very Positive,"(203,217)",146183,https://store.steampowered.com/app/990080/Hogwarts_Legacy?snr=1_category_4_rpg_100727
OMORI,"Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well.","Psychological Horror, Story Rich, Pixel Graphics, Indie, Great Soundtrack, RPG, Multiple Endings, RPGMaker, Hand-drawn, Horror, 2D, Colorful, Turn-Based, Atmospheric, Party-Based RPG, Exploration, JRPG, Stylized, Anime, Fantasy",2020-12-25,"OMOCAT, LLC","OMOCAT, LLC",Overwhelmingly Positive,"(65,939)",52267,https://store.steampowered.com/app/1150690/OMORI?snr=1_category_4_rpg_100727
Slay the Spire,"We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck, encounter bizarre creatures, discover relics of immense power, and Slay the Spire!","Roguelike Deckbuilder, Card Game, Card Battler, Roguelike, Deckbuilding, Turn-Based, Strategy, Singleplayer, Roguelite, Replay Value, Indie, Difficult, Dungeon Crawler, RPG, Mouse only, 2D, Great Soundtrack, Procedural Generation, Fantasy, Casual",2019-01-23,Mega Crit,Mega Crit,Overwhelmingly Positive,"(142,437)",72985,https://store.steampowered.com/app/646570/Slay_the_Spire?snr=1_category_4_rpg_100727
Symphony of War: The Nephilim Saga,"Enter Tahnra, a land savaged by war. You, a fresh academy graduate with humble beginnings, will grow to lead a grand army against a corrupt adversary. Gather heroes, form bonds, and lead your force in turn-based battles. Make use of tactics, terrain, morale and more to bring peace to the land!","Tactical RPG, RPG, Story Rich, Fantasy, Turn-Based Strategy, Adventure, Female Protagonist, Strategy RPG, Pixel Graphics, Lore-Rich, Romance, Drama, Strategy, 2D, JRPG, Indie, Auto Battler, Singleplayer, Party-Based RPG, Tactical",2022-06-10,Dancing Dragon Games,indie.io,Overwhelmingly Positive,"(10,413)",6926,https://store.steampowered.com/app/1488200/Symphony_of_War_The_Nephilim_Saga?snr=1_category_4_rpg_100727
