name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
Armello,"Armello is a grim fairy-tale board game come to life, with every match combining deep, tactical card play, rich tabletop strategy and RPG elements. Leverage subterfuge, spells and careful strategy to wrangle control of the games chaotic odds as you quest for the throne.","Board Game, PvP, Turn-Based Strategy, Card Game, Turn-Based, Strategy, RPG, Dark Fantasy, 3D, Atmospheric, Hand-drawn, 2D, Tabletop, Multiple Endings, Fantasy, Hex Grid, Lore-Rich, Adventure, Tactical RPG, Grand Strategy",2015-09-01,League of Geeks,League of Geeks,Very Positive,"(10,674)",8135,https://store.steampowered.com/app/290340/Armello?snr=1_category_4_strategy_100727
Stacklands,"Stacklands is a village builder where you stack cards to collect food, build structures, and fight creatures. ?? For example, dragging a Villager card on top of a Berry Bush card will spawn Berry cards which the villagers can eat to survive. ?? Play your cards right and expand your village!","Card Game, Management, Survival, Card Battler, Roguelite, City Builder, Strategy, Solitaire, Building, 2D, Tabletop, Singleplayer, Cute, Deckbuilding, Simulation, Hand-drawn, Colorful, Indie, Casual, Fantasy",2022-04-08,Sokpop Collective,Sokpop Collective,Overwhelmingly Positive,"(23,502)",9858,https://store.steampowered.com/app/1948280/Stacklands?snr=1_category_4_strategy_100727
ENDLESS™ Legend,ENDLESS™ Legend is a 4X turn-based fantasy strategy game by the creators of ENDLESS™ Space and Dungeon of the ENDLESS™. Control every aspect of your civilization as you struggle to save your homeworld Auriga. Create your own Legend!,"Strategy, 4X, Turn-Based, Turn-Based Strategy, Fantasy, Hex Grid, Multiplayer, RPG, Singleplayer, Great Soundtrack, Sci-fi, Indie, Tactical, Grand Strategy, Adventure, Medieval, Atmospheric, Exploration, Open World, Sandbox",2014-09-18,AMPLITUDE Studios,SEGA,Very Positive,"(13,919)",11363,https://store.steampowered.com/app/289130/ENDLESS_Legend?snr=1_category_4_strategy_100727
Dorfromantik,"Dorfromantik is a peaceful building strategy and puzzle game where you create a beautiful and ever-growing village landscape by placing tiles. Explore a variety of colorful biomes, discover and unlock new tiles and complete quests to fill your world with life!","Puzzle, Relaxing, City Builder, Turn-Based Strategy, Strategy, Board Game, Casual, Simulation, Resource Management, Sandbox, Turn-Based Tactics, Logic, Procedural Generation, Family Friendly, Controller, Minimalist, Indie, 3D, Hand-drawn, Singleplayer",2022-04-28,Toukana Interactive,Toukana Interactive,Overwhelmingly Positive,"(24,428)",15082,https://store.steampowered.com/app/1455840/Dorfromantik?snr=1_category_4_strategy_100727
"Warhammer 40,000: Gladius - Relics of War","Warhammer 40,000: Gladius – Relics of War brings you to a world of terror and violence. Four factions will engage in a brutal war for dominance over the planet’s resources. In the first turn-based 4X strategy game set in Warhammer 40,000 you will lead one of four unique factions.","Strategy, Warhammer 40K, 4X, Turn-Based Strategy, Hex Grid, Turn-Based, Multiplayer, Sci-fi, Turn-Based Tactics, Wargame, Singleplayer, Tactical, Co-op, War, Grand Strategy, Turn-Based Combat, Replay Value, Great Soundtrack, Military, Games Workshop",2018-07-12,Proxy Studios,Slitherine Ltd.,Very Positive,"(6,858)",7460,https://store.steampowered.com/app/489630/Warhammer_40000_Gladius__Relics_of_War?snr=1_category_4_strategy_100727
Northgard,"Northgard is a critically acclaimed strategy game based on Norse mythology. Lead your clan, uncover the secrets of a mysterious newfound continent and defeat your enemies to conquer the Throne!","Strategy, City Builder, Simulation, RTS, Base Building, Colony Sim, Building, 4X, Economy, Tactical, War, Management, Multiplayer, PvP, Singleplayer, Moddable, Co-op, Vikings, PvE, Resource Management",2018-03-07,Shiro Games,Shiro Games,Very Positive,"(47,115)",26078,https://store.steampowered.com/app/466560/Northgard?snr=1_category_4_strategy_100727
Age of Wonders 4,Rule a fantasy realm of your own design! Explore new magical realms in Age of Wonders’ signature blend of 4X strategy and turn-based tactical combat. Control a faction that grows and changes as you expand your empire with each turn!,"Strategy, 4X, Character Customization, Choices Matter, RPG, Strategy RPG, Fantasy, Moddable, Lore-Rich, Dwarf, Turn-Based Strategy, Combat, Grand Strategy, Magic, Singleplayer, Exploration, Co-op, Tactical RPG, Top-Down, Multiplayer",2023-05-02,Triumph Studios,Paradox Interactive,Very Positive,"(11,171)",8994,https://store.steampowered.com/app/1669000/Age_of_Wonders_4?snr=1_category_4_strategy_100727
Scythe: Digital Edition,"Scythe transports you to an alternate reality in 1920s Europa, one ravaged by the First World War. Take up the role of leader by assuming command of one of 5 factions, and set out to conquer the coveted 'Factory'. Lead your mechs to war and your people to victory!","Board Game, Strategy, Turn-Based, Multiplayer, 4X, Tabletop, Alternate History, Mechs, Hex Grid, Turn-Based Strategy, Sci-fi, Steampunk, World War I, Singleplayer, Historical, Character Customization, Hand-drawn, Tactical, PvP, War",2018-09-05,The Knights of Unity,The Knights of Unity,Very Positive,"(2,900)",2467,https://store.steampowered.com/app/718560/Scythe_Digital_Edition?snr=1_category_4_strategy_100727
The Crew Motorfest,"The Crew Motorfest is an open world online racing game set on the island of O‘ahu, Hawaii. Experience the best that car culture has to offer as you compete in intense races, experience themed events, and collect hundreds of iconic cars. Enjoy the game free for five hours!","Racing, Arcade, Multiplayer, Open World, Driving, Sandbox, Singleplayer, Sports, PvP, Online Co-Op, Co-op, 3D",2024-04-18,Ubisoft Ivory Tower,Ubisoft,Mixed,"(2,485)",1166,https://store.steampowered.com/app/2698940/The_Crew_Motorfest?snr=1_category_4_sportsandracing_salebrowseall
Need for Speed™ Heat,"Hustle by day and risk it all at night in Need for Speed™ Heat Deluxe Edition, a white-knuckle street racer, where the lines of the law fade as the sun starts to set.","Racing, Open World, Multiplayer, Driving, Action, Singleplayer, Co-op, Adventure, Combat Racing, Atmospheric, Third Person, Online Co-Op, Arcade, Sports, PvP, First-Person, Controller, Character Customization, Split Screen, Destruction",2019-11-08,Ghost Games,Electronic Arts,Very Positive,"(96,628)",48388,https://store.steampowered.com/app/1222680/Need_for_Speed_Heat?snr=1_category_4_sportsandracing_salebrowseall
Need for Speed™ Unbound,"Race to the top, definitely don’t flop. Outsmart the cops, and enter weekly qualifiers for The Grand: the ultimate street race. Pack your garage with precision-tuned, custom rides, and light up the streets with your style.","Racing, Multiplayer, Open World, Action, Driving, Singleplayer, Character Customization, Combat Racing, Controller, Arcade, Casual, Online Co-Op, Simulation, Atmospheric, Sports, Adventure, Anime, Immersive, Music, Split Screen",2022-12-01,Criterion Games,Electronic Arts,Mixed,"(30,337)",16963,https://store.steampowered.com/app/1846380/Need_for_Speed_Unbound?snr=1_category_4_sportsandracing_salebrowseall
iRacing,"We are the world’s premier motorsports racing game. An iRacing membership provides entry into the newest form of motorsport: internet racing. Internet racing is a fun, easy, and inexpensive way for race fan and gamers alike to enjoy the thrill of the racetrack from the comfort of their home.","Racing, Automobile Sim, Simulation, VR, Sports, Driving, Massively Multiplayer, Multiplayer, Realistic, Singleplayer, Controller, eSports, First-Person, Action",2015-01-12,"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing",Very Positive,"(2,707)",2606,https://store.steampowered.com/app/266410/iRacing?snr=1_category_4_sportsandracing_salebrowseall
WWE 2K24,"Experience a gripping retelling of WrestleMania’s greatest moments in 2K Showcase of the Immortals in WWE 2K24, where you can relive a collection of some of the most unforgettable, career-defining matches.","Sports, Simulation, Wrestling, Fighting, Character Customization, Singleplayer, PvP, Co-op, Local Co-Op, Online Co-Op, Multiplayer, Controller, Local Multiplayer, Casual, 3D Fighter, 3D, Realistic, Sandbox",2024-03-08,Visual Concepts,2K,Mostly Positive,"(3,531)",3301,https://store.steampowered.com/app/2315690/WWE_2K24?snr=1_category_4_sportsandracing_salebrowseall
F1® 24,"Join the grid and Be One of the 20. Drive like the Greatest in EA SPORTS™ F1® 24, the official video game of the 2024 FIA Formula One World Championship™.","Racing, Sports, Driving, Multiplayer, Automobile Sim, VR, Simulation, Early Access, Singleplayer, Competitive, Realistic, Casual, Co-op, Online Co-Op, PvP, Character Customization, Horror, World War II, Great Soundtrack, eSports",2024-05-31,Codemasters,Electronic Arts,Mixed,"(4,246)",2283,https://store.steampowered.com/app/2488620/F1_24?snr=1_category_4_sportsandracing_salebrowseall
Fishing Planet,Fishing Planet® is a free-to-play and highly realistic first-person online multiplayer fishing simulator. Developed by avid fishing enthusiasts to bring you the full thrill of actual angling on your PC.,"Fishing, Free to Play, Multiplayer, Simulation, Sports, Relaxing, Realistic, Massively Multiplayer, Co-op, First-Person, Open World, Singleplayer, Online Co-Op, Family Friendly, Adventure, Casual, MMORPG, Action, FPS, Farming Sim",2015-08-11,Fishing Planet LLC,Fishing Planet LLC,Very Positive,"(59,354)",21924,https://store.steampowered.com/app/380600/Fishing_Planet?snr=1_category_4_sportsandracing_salebrowseall
Golf With Your Friends,"Why have friends if not to play Golf... With Your Friends! Nothing is out of bounds as you take on courses filled with fast paced, exciting, simultaneous mini golf for up to 12 players!","Multiplayer, Casual, Mini Golf, Sports, Golf, Indie, Funny, Family Friendly, Co-op, Singleplayer, Early Access, Physics, Simulation, Strategy, Great Soundtrack, Local Multiplayer, Difficult, Memes, Massively Multiplayer, Action",2020-05-19,"Blacklight Interactive, Team17",Team17,Very Positive,"(42,674)",47588,https://store.steampowered.com/app/431240/Golf_With_Your_Friends?snr=1_category_4_sportsandracing_salebrowseall
EA SPORTS™ WRC,"Build the car of your dreams in our biggest rally game ever, EA SPORTS™ WRC, the official videogame of the FIA World Rally Championship, the first developed by the award-winning team behind the DiRT Rally series.","Racing, Simulation, Automobile Sim, Sports, Offroad, Multiplayer, PvP, Singleplayer, Early Access, VR, Driving",2023-11-02,Codemasters,Electronic Arts,Mixed,"(6,814)",4116,https://store.steampowered.com/app/1849250/EA_SPORTS_WRC?snr=1_category_4_sportsandracing_salebrowseall
Tony Hawks™ Pro Skater™ 1 + 2,"Play the fully-remastered Tony Hawk’s™ Pro Skater™ & Tony Hawk’s™ Pro Skater™ 2 games in one epic collection, rebuilt from the ground up in incredible HD.","Sports, Skateboarding, Multiplayer, Singleplayer, Arcade, Co-op, Character Customization, Third Person, 3D, Soundtrack, Music, Remake, Great Soundtrack, Open World",2023-10-03,"Vicarious Visions, Iron Galaxy Studios",Activision,Very Positive,"(3,253)",2366,https://store.steampowered.com/app/2395210/Tony_Hawks_Pro_Skater_1__2?snr=1_category_4_sportsandracing_salebrowseall
Season 1 MyCAREER Bonus Offer,,"Sports, Simulation, Basketball, eSports, 3D, Immersive Sim, Management, PvP, Character Customization, Controller, Deckbuilding, Team-Based, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, 4 Player Local",2024-09-04,Visual Concepts,2K,Very Negative,(11% of 463) All Time,166,https://store.steampowered.com/app/2982780/Season_1_MyCAREER_Bonus_Offer?snr=1_category_4_sportsandracing_salebrowseall
Russian Fishing 4,"Russian Fishing 4 is a fishing simulator with RPG elements. There is no story line and the whole process is based on the concept of an open, free to roam and free to play game.","Fishing, Free to Play, Multiplayer, Simulation, Nature, Realistic, Relaxing, Crafting, Immersive Sim, First-Person, Sports, Atmospheric, Singleplayer, Open World, Survival, Massively Multiplayer, Casual, Adventure, RPG, Family Friendly",2021-11-10,FishSoft LLC,FishSoft LLC,Mixed,"(66,369)",5664,https://store.steampowered.com/app/766570/Russian_Fishing_4?snr=1_category_4_sportsandracing_salebrowseall
Football Manager 2024,Build a world-class team ready to dominate your rivals in football’s most prestigious competitions. Progress never stops when you’re pursuing footballing greatness.,"Simulation, Sports, Strategy, Management, Football (Soccer), Multiplayer, eSports, Economy, Real Time Tactics, Singleplayer, 3D, Text-Based, 2D",2023-11-06,Sports Interactive,SEGA,Very Positive,"(9,784)",6881,https://store.steampowered.com/app/2252570/Football_Manager_2024?snr=1_category_4_sportsandracing_salebrowseall
NBA 2K25 Hall of Fame Pass: Season 1,,"Sports, Simulation, Basketball, eSports, Immersive Sim, 3D, Management, PvP, Character Customization, Controller, Deckbuilding, Team-Based, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, 4 Player Local",2024-09-03,Visual Concepts,2K,7 user reviews,() All Time,2,https://store.steampowered.com/app/2974820/NBA_2K25_Hall_of_Fame_Pass_Season_1?snr=1_category_4_sportsandracing_salebrowseall
F1® Manager 2024,"Lead your team to glory in F1® Manager 2024. A new Formula 1® season has arrived, and with it, the most comprehensive F1® management experience to date. Build a legacy with one of 10 official F1® constructors or create your own team for the very first time.","Simulation, Strategy, Racing, Automobile Sim, Immersive Sim, Time Management, Realistic, 3D, Driving, Management, Sports, Economy, Family Friendly, Tactical, Base Building, Choices Matter, PvE, Resource Management, Team-Based, Time Manipulation",2024-07-23,Frontier Developments,Frontier Developments,Mixed,"(1,732)",1129,https://store.steampowered.com/app/2591280/F1_Manager_2024?snr=1_category_4_sportsandracing_salebrowseall
Rooftops & Alleys: The Parkour Game,"Ever felt like the world was missing that one Parkour/Freerunning game? That game that scratches that itch that other games just dont? Rooftops & Alleys aka TheParkourGame is here to deliver! In this game, theres is no hold button to parkour mentality. Here, you, the player is in control!","Simulation, Sports, Parkour, 3D Platformer, eSports, Exploration, First-Person, Third Person, Immersive Sim, 3D, Open World, Character Customization, Singleplayer, Physics, Controller, Early Access, Indie, Action, Gaming, Multiplayer",2024-05-21,MLMEDIA,MLMEDIA,Overwhelmingly Positive,"(3,498)",2690,https://store.steampowered.com/app/2703850/Rooftops__Alleys_The_Parkour_Game?snr=1_category_4_sportsandracing_salebrowseall
Liftoff®: FPV Drone Racing,Liftoff® is a drone simulator that translates the rush of first-person view drone flight to the digital world. Join the biggest community for virtual FPV racing and freestyle!,"Simulation, Flight, Racing, Realistic, First-Person, Sports, Multiplayer, Immersive Sim, Indie, Early Access, Crafting, Level Editor, Singleplayer, Atmospheric, Exploration, Education, 3D, Modern, Parkour, Science",2018-09-13,LuGus Studios,LuGus Studios,Very Positive,"(9,182)",5008,https://store.steampowered.com/app/410340/Liftoff_FPV_Drone_Racing?snr=1_category_4_sportsandracing_salebrowseall
EA SPORTS FC™ 24,"EA SPORTS FC™ 24 welcomes you to The World’s Game: the most true-to-football experience ever with HyperMotionV, PlayStyles optimised by Opta, and an enhanced Frostbite™ Engine.","Football (Soccer), Sports, Controller, Multiplayer, eSports, PvP, Competitive, PvE, Local Multiplayer, 3D, Simulation, Online Co-Op, Singleplayer, Realistic, Local Co-Op, Co-op, Action, Family Friendly, First-Person, Early Access",2023-09-28,EA Canada & EA Romania,Electronic Arts,Mixed,"(85,952)",33783,https://store.steampowered.com/app/2195250/EA_SPORTS_FC_24?snr=1_category_4_sportsandracing_salebrowseall
Undisputed,"Become Undisputed in the most authentic boxing game to date! Featuring true to life visuals, bone-jarring action, and more licensed boxers than ever before, Undisputed gives you unprecedented control to master every inch of the ring.","3D Fighter, Third Person, 3D, Combat, Controller, Boxing, Fighting, Sports, Realistic, Multiplayer, Early Access, Singleplayer, Local Multiplayer, Simulation, Action, eSports, PvE, PvP, Character Customization, Immersive Sim",2023-01-31,Steel City Interactive,Deep Silver,Mostly Positive,"(13,370)",11018,https://store.steampowered.com/app/1451190/Undisputed?snr=1_category_4_sportsandracing_salebrowseall
Need for Speed™ Payback,"Set in the underworld of Fortune Valley, you and your crew were divided by betrayal and reunited by revenge to take down The House, a nefarious cartel that rules the city’s casinos, criminals and cops. In this corrupt gambler’s paradise, the stakes are high and The House always wins.","Racing, Open World, Multiplayer, Combat Racing, Sports, Controller, PvP, Sandbox, Arcade, Third Person, First-Person, Strategy, Offroad, Vehicular Combat, Simulation, Co-op, Atmospheric, Online Co-Op, Singleplayer, Action",2017-11-06,Ghost Games,Electronic Arts,Very Positive,"(22,313)",7397,https://store.steampowered.com/app/1262580/Need_for_Speed_Payback?snr=1_category_4_sportsandracing_salebrowseall
PGA TOUR 2K23,"Hit the links with more swagger in PGA TOUR 2K23. Now featuring playable male and female pros, including Tiger Woods, new licensed courses, more control options, an authentic PGA TOUR MyCAREER, Course Designer, and new MyPLAYER Skills and Archetypes! PGA TOUR 2K23. More Golf. More Game.","Sports, Simulation, RPG, Golf, Third Person, PvP, Singleplayer, Local Multiplayer, Local Co-Op, Controller, 4 Player Local",2022-10-13,HB Studios,2K,Mostly Positive,"(4,182)",4773,https://store.steampowered.com/app/1588010/PGA_TOUR_2K23?snr=1_category_4_sportsandracing_salebrowseall
DiRT Rally 2.0,"DiRT Rally 2.0 dares you to carve your way through a selection of iconic rally locations from across the globe, in the most powerful off-road vehicles ever made, knowing that the smallest mistake could end your stage.","Racing, Automobile Sim, Simulation, Multiplayer, Driving, VR, Sports, Offroad, Realistic, Difficult, Singleplayer, First-Person, Controller, Open World, Co-op, 3D Vision, Family Friendly, TrackIR, Action, Souls-like",2019-02-25,Codemasters,"Codemasters, Electronic Arts",Very Positive,"(31,468)",19445,https://store.steampowered.com/app/690790/DiRT_Rally_20?snr=1_category_4_sportsandracing_salebrowseall
Assetto Corsa Competizione - 24H Nürburgring Pack,,"Racing, Simulation, Automobile Sim, Sports, Multiplayer, VR, Driving, Realistic, Singleplayer, Controller, Open World, eSports, Early Access, First-Person, Competitive, Online Co-Op, Atmospheric, Moddable, Difficult, Action",2024-04-01,Kunos Simulazioni,Kunos Simulazioni,Very Positive,(96% of 362) All Time,205,https://store.steampowered.com/app/2700610/Assetto_Corsa_Competizione__24H_Nurburgring_Pack?snr=1_category_4_sportsandracing_salebrowseall
Automobilista 2,"Automobilista 2 once again puts you in the driving seat of an advanced and diverse racing simulator - now with incredible graphical quality, high-profile cars and tracks, advanced dynamic track condition system and VR support.","Racing, Simulation, Sports, VR, Automobile Sim, Indie, Action, Driving, Realistic, Multiplayer",2020-03-31,Reiza Studios,Reiza Studios,Very Positive,"(6,629)",4543,https://store.steampowered.com/app/1066890/Automobilista_2?snr=1_category_4_sportsandracing_salebrowseall
NBA 2K24,Experience hoops culture in NBA 2K24. Enjoy loads of action and limitless personalized MyPLAYER options in MyCAREER. Build your perfect lineup in MyTEAM. Feel more responsive gameplay and polished visuals while playing with your favorite NBA and WNBA teams in PLAY NOW.,"Sports, Basketball, Simulation, eSports, 3D, Realistic, Management, PvP, Character Customization, Controller, Immersive Sim, Team-Based, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Gambling, Online Co-Op, Singleplayer",2023-09-07,Visual Concepts,2K,Mostly Negative,"(31,089)",13870,https://store.steampowered.com/app/2338770/NBA_2K24?snr=1_category_4_sportsandracing_salebrowseall
Steep™,"Ride a massive open world across the Alps, where the powder is always fresh and the run never ends. Defy and master the mountain alone or with friends on skis, wingsuits, snowboards and paragliders. Record and share your best stunts.","Sports, Open World, Multiplayer, Action, Simulation, Atmospheric, Exploration, Great Soundtrack, Adventure, Racing, Snowboarding, First-Person, Third Person, Co-op, Singleplayer, Realistic, Skiing, Sandbox, Casual, Snow",2016-12-02,"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev",Ubisoft,Very Positive,"(25,749)",10661,https://store.steampowered.com/app/460920/Steep?snr=1_category_4_sportsandracing_salebrowseall
Riders Republic,"Jump into a massive multiplayer playground! Bike, ski, snowboard, or wingsuit across an open world sports paradise.","Racing, Open World, Massively Multiplayer, Sports, Multiplayer, PvP, Bikes, Snowboarding, Third Person, Skiing, Cycling, BMX, First-Person, Online Co-Op, Co-op, Singleplayer, Colorful, Skateboarding",2023-06-08,"Ubisoft Annecy, Ubisoft Belgrade, Ubisoft Kyiv, Ubisoft Pune, Ubisoft Odesa",Ubisoft Entertainment,Very Positive,"(14,718)",3985,https://store.steampowered.com/app/2290180/Riders_Republic?snr=1_category_4_sportsandracing_salebrowseall
Season 1 MyTEAM Bonus Offer,,"Sports, Simulation, Basketball, eSports, 3D, Immersive Sim, Management, PvP, Character Customization, Controller, Deckbuilding, Team-Based, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, 4 Player Local",2024-09-04,Visual Concepts,2K,Very Negative,(9% of 111) All Time,41,https://store.steampowered.com/app/2982790/Season_1_MyTEAM_Bonus_Offer?snr=1_category_4_sportsandracing_salebrowseall
All-In-One Sports VR,13 Sports in 1 Game ! What type of sports acitivities will be safer during the pandemic era? All in One sports VR offers the most safe way to keep you healthy for both physically and mentally with zero contact.,"Simulation, VR, Sports, Baseball, Basketball, Bowling, Casual, Boxing, Archery, Tennis, Pool, Golf, Arcade, eSports, Physics, 6DOF, Realistic, Singleplayer, Multiplayer, Action",2023-04-07,Appnori Inc.,Appnori Inc.,Very Positive,(84% of 624) All Time,333,https://store.steampowered.com/app/1514840/AllInOne_Sports_VR?snr=1_category_4_sportsandracing_100726
Downhill Pro Racer,"The first simulator of the real Downhill mountain biking sport. Race against the clock in realistic DH tracks. You have full control over your bikes reactions. Jump, gap over obstacles and navigate through technical terrain while avoiding crashes. The race is on!","Early Access, Racing, Sports, Bikes, Motocross, BMX, eSports, Third Person, First-Person, Realistic, 3D, Combat Racing, Automobile Sim, Cycling, Driving, Motorbike, Nature, Offroad, Skateboarding, Snowboarding",2023-06-23,Germán de la Fuente,Germán de la Fuente,Positive,(89% of 19) All Time,15,https://store.steampowered.com/app/2266200/Downhill_Pro_Racer?snr=1_category_4_sportsandracing_100726
MX vs ATV Legends,"Race your way to victory on bikes, ATVs and UTVs in MX vs ATV Legends! Featuring massive new open environments, plus a career mode that lets you experience all the risks and rewards of becoming a world-famous professional rider. Become an off-road racing legend in your own right! Your time is now!","Racing, Sports, Arcade, 3D, First-Person, Realistic, Third Person, Driving, Motocross, Family Friendly, Motorbike, Offroad, PvP, Controller, Physics, Multiplayer, Singleplayer, ATV, Open World, VR",2022-06-28,Rainbow Studios,THQ Nordic,Mostly Positive,"(1,650)",1623,https://store.steampowered.com/app/1205970/MX_vs_ATV_Legends?snr=1_category_4_sportsandracing_100726
All In One Sports - Hockey DLC,,"Simulation, Sports, Casual, VR, Action, Baseball, Basketball, Bowling, Boxing, Archery, Tennis, Pool, Golf, Arcade, eSports, Physics, 6DOF, Realistic, Singleplayer, Multiplayer",2024-09-10,Appnori Inc.,Appnori Inc.,1 user reviews,() All Time,0,https://store.steampowered.com/app/3187270/All_In_One_Sports__Hockey_DLC?snr=1_category_4_sportsandracing_100726
Slime Volley,"?? Step into the bouncy and exciting arcade game of Slime Volley! This isnt your typical volleyball game – its an arcade sensation that takes the classic sport and gives it a bouncy, slimy twist. Prepare for a thrilling multiplayer showdown as you leap onto the court for some fast-paced action.","Volleyball, 2D, Tennis, Sports, Arcade, PvP, Basketball, Mini Golf, Hockey, Football (Soccer), Boxing, Skateboarding, Casual, 2D Fighter, Split Screen, Action, Local Multiplayer, Minimalist, Multiplayer, Singleplayer",2023-09-08,Manarock,Manarock,6 user reviews,() All Time,2,https://store.steampowered.com/app/2563850/Slime_Volley?snr=1_category_4_sportsandracing_100726
All In One Sports - Soccer DLC,,"Simulation, Sports, Casual, VR, Action, Baseball, Basketball, Bowling, Boxing, Archery, Tennis, Pool, Golf, Arcade, eSports, Physics, 6DOF, Realistic, Singleplayer, Multiplayer",2024-09-10,Appnori Inc.,Appnori Inc.,4 user reviews,() All Time,4,https://store.steampowered.com/app/3118990/All_In_One_Sports__Soccer_DLC?snr=1_category_4_sportsandracing_100726
Descenders,"Descenders is extreme downhill freeriding for the modern era, with procedurally generated worlds, and where mistakes have real consequences. Will you lead your team to glory and become the next legendary Descender?","Sports, Racing, Cycling, Action, Bikes, Multiplayer, Great Soundtrack, Procedural Generation, Roguelite, Open World, BMX, Fast-Paced, Simulation, Physics, Moddable, Addictive, Difficult, Relaxing, Beautiful, Competitive",2019-05-07,RageSquid,No More Robots,Overwhelmingly Positive,"(14,146)",9660,https://store.steampowered.com/app/681280/Descenders?snr=1_category_4_sportsandracing_100726
RIDE 5,Rev up your engine and get ready to hit the track with RIDE 5. An adrenaline-filled gaming experience that is so authentic it will make you feel like youre truly racing at break-neck speed.,"Racing, Simulation, Sports, Motorbike, Split Screen, Bikes, Driving, Multiplayer, Realistic, Singleplayer, Local Multiplayer, First-Person, Controller, Third Person, PvP, Physics, Family Friendly, Character Customization, Artificial Intelligence, Tutorial",2023-08-24,Milestone S.r.l.,Milestone S.r.l.,Mostly Positive,"(1,063)",608,https://store.steampowered.com/app/1650010/RIDE_5?snr=1_category_4_sportsandracing_100726
Golf It!,"Embark on an exciting journey with Golf It! Seize your putter, rally your friends, and immerse yourself in an epic minigolf adventure. Conquer countless courses, create lasting memories, and refine your skills to emerge as the ultimate minigolf champion. Your thrilling golfing odyssey begins here!","Multiplayer, Mini Golf, Golf, Casual, Sports, Funny, Online Co-Op, Singleplayer, Simulation, Level Editor, Indie, Early Access, Local Multiplayer, Sandbox, Co-op, Family Friendly, VR, Memes, Difficult, Strategy",2023-08-18,Perfuse Entertainment,Perfuse Entertainment,Very Positive,"(22,129)",13822,https://store.steampowered.com/app/571740/Golf_It?snr=1_category_4_sportsandracing_100726
Motordoom,"Motördoom is a freestyle-sports roguelite horde shooter that combines high octane, visceral combat with fluid movement and trick mechanics. Perform gnarly tricks while defeating grotesque monsters and upgrade your character with demonic offerings to become ever more powerful.","Skateboarding, BMX, Roguelite, Arcade, Action Roguelike, Shooter, Bullet Hell, Roguelike, Motocross, Vehicular Combat, Sports, Motorbike, Action, 3D, Arena Shooter, Bikes, Demons, Singleplayer, Retro, Third-Person Shooter",2024-08-02,Hobo Cat Games,Hobo Cat Games,Very Positive,(97% of 108) All Time,104,https://store.steampowered.com/app/1894720/Motordoom?snr=1_category_4_sportsandracing_100726
Sledders,"Rev up your sled & dive into fresh powder in Sledders! Realistic, physics-based snowmobile simulator in backcountries full of deep snow. Ride with and against your friends in online multiplayer. Can you reach the peak before others? Show off your sled-skills now on Sledders.","Motocross, Simulation, Motorbike, Snow, Offroad, Racing, Sports, Moddable, Exploration, Physics, Driving, Character Customization, Multiplayer, Immersive Sim, 3D, Early Access, Realistic, Third Person, Bikes, Sandbox",2023-12-05,Hanki Games,Bonus Stage Publishing,Overwhelmingly Positive,"(1,711)",1299,https://store.steampowered.com/app/2486740/Sledders?snr=1_category_4_sportsandracing_100726
The Ramp,"A digital toy for skateboard loving people. Pure flow, no extra fluff.","Skateboarding, Sports, Skating, Relaxing, Minimalist, Snowboarding, BMX, Sandbox, Action, Controller, Casual, Arcade, Singleplayer, 3D, Stylized, Skiing, Indie, Atmospheric, Driving, Simulation",2021-08-03,Paul Schnepf,hyperparadise,Overwhelmingly Positive,"(95% of 1,058) All Time",1000,https://store.steampowered.com/app/1506510/The_Ramp?snr=1_category_4_sportsandracing_100726
Monster Energy Supercross - The Official Videogame,Live the adrenaline and the excitement of the 2017 Monster Energy Supercross Championship with MONSTER ENERGY SUPERCROSS - THE OFFICIAL VIDEOGAME!,"Sports, Simulation, Racing, Motorbike, Motocross, Bikes, Cycling, Multiplayer, Singleplayer",2018-02-13,Milestone S.r.l.,Milestone S.r.l.,Very Positive,(83% of 702) All Time,539,https://store.steampowered.com/app/711750/Monster_Energy_Supercross__The_Official_Videogame?snr=1_category_4_sportsandracing_100727
Skater XL - The Ultimate Skateboarding Game,"Experience unparalleled board control and responsiveness while you skate iconic real-world skate spots. This is the evolution of skateboarding gameplay. With Independent Foot Control and unique physics-based gameplay, skate gamers finally have the expressive controls they have always dreamed of.","Skateboarding, Skating, Multiplayer, Sports, Sandbox, Online Co-Op, Moddable, Physics, Character Customization, Simulation, Adventure, Mod, Controller, Action, Singleplayer, Realistic, Open World, Snowboarding, Soundtrack, Indie",2020-07-28,Easy Day Studios Pty Ltd,Easy Day Studios Pty Ltd,Very Positive,"(18,108)",13304,https://store.steampowered.com/app/962730/Skater_XL__The_Ultimate_Skateboarding_Game?snr=1_category_4_sportsandracing_100727
